Logging requires wandb to be installed. Run `pip install wandb`.
step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
1,2000,80,2.1543471193138126,0.0,0.24387397899649943,2.0594565207281295,0.0,0.24393203883495146
2,4000,160,2.1392665666326556,0.0,0.2459396751740139,,,
3,6640,240,1.6721670824073498,0.0,0.2261768082663605,,,
4,9280,320,1.534726271498164,0.0,0.23178016726403824,,,
5,11280,400,2.0302340862537296,0.0,0.25,,,
6,13280,480,1.9599872969125878,0.0,0.22916666666666666,2.1865328688645262,0.0,0.23839662447257384
7,15920,560,1.5064255888405456,0.0,0.23634204275534443,,,
8,17920,640,2.0278247738750226,0.0,0.2384887839433294,,,
9,19920,720,1.9358499403716602,0.0,0.25476190476190474,,,
10,21920,800,2.1056839433735224,0.0,0.2508436445444319,,,
11,23920,880,1.9789638788782364,0.0,0.2335858585858586,1.8403131321760602,0.0,0.2727272727272727
12,25920,960,1.776906052551495,0.0,0.27169811320754716,,,
13,27920,1040,1.7824681177353048,0.0,0.2982456140350877,,,
14,29920,1120,1.9219919627682458,0.0,0.28055878928987193,,,
15,31920,1200,1.8008234143494133,0.0,0.26535626535626533,,,
16,33920,1280,1.831484048568877,0.0,0.326036866359447,,,
17,35920,1360,1.9200368646463564,0.0,0.29493087557603687,1.8039145142666186,0.0,0.333692142088267
18,37920,1440,1.763283408723202,0.0,0.30597014925373134,,,
19,39920,1520,1.7799385106157313,0.0,0.3125,,,
20,41920,1600,1.7341214973640093,0.0,0.2928660826032541,,,
21,43920,1680,1.8056666010948215,0.0,0.3239277652370203,,,
22,45920,1760,1.6745984053643146,0.0,0.2853470437017995,,,
23,47920,1840,1.8240525537422514,0.0,0.3231132075471698,1.9021188316292503,0.012500000186264515,0.2925714285714286
24,50560,1920,1.3365698185340182,0.0,0.2891566265060241,,,
25,53200,2000,1.3384554375673843,0.0,0.3042973286875726,,,
26,55840,2080,1.183183748981051,0.0,0.32432432432432434,,,
27,57840,2160,1.7879533228931508,0.0,0.3164705882352941,,,
28,59840,2240,1.716017553857356,0.0,0.3233173076923077,,,
29,61840,2320,1.745131593645113,0.0,0.309265944645006,1.7175912015814798,0.0,0.3348783314020857
30,63840,2400,1.730906275151856,0.0,0.3179611650485437,,,
31,66480,2480,1.3882095193056458,0.0,0.31221719457013575,,,
32,68480,2560,1.7818314162425395,0.0,0.32992036405005687,,,
33,71120,2640,1.2623483094821382,0.0,0.3173431734317343,,,
34,73120,2720,1.745105980761582,0.0,0.2716049382716049,1.4854040968192246,0.0,0.3210912906610703
35,75120,2800,1.7349634099833262,0.0,0.30408653846153844,,,
36,77760,2880,1.2325982038644383,0.0,0.33495736906211937,,,
37,80400,2960,1.3241943843973019,0.0,0.31097560975609756,,,
38,82400,3040,1.6289032419563,0.02500000037252903,0.3333333333333333,,,
39,84400,3120,1.498288695139407,0.0,0.34028683181225555,,,
40,86400,3200,1.7792127163940676,0.0,0.32386363636363635,1.3558533803856934,0.0,0.32989690721649484
41,88400,3280,1.681600127392528,0.0,0.34965831435079725,,,
42,90400,3360,1.4843683070128615,0.0,0.3649815043156597,,,
43,92400,3440,1.5754876177983987,0.0,0.3229426433915212,,,
44,94400,3520,1.5746333371688743,0.0,0.3341708542713568,,,
45,96400,3600,1.7191509306930357,0.0,0.31412429378531076,,,
46,99040,3680,1.3531172159705078,0.0,0.3087719298245614,1.3407437283912942,0.0,0.31949250288350634
47,101680,3760,1.2819949890546696,0.0,0.28973105134474325,,,
48,104320,3840,1.3519875224225189,0.0,0.318233295583239,,,
49,106320,3920,1.8098853424679002,0.0,0.3174061433447099,,,
50,108320,4000,1.6302711161327976,0.0,0.31432192648922685,,,
51,110960,4080,1.068644361508379,0.012500000186264515,0.4046783625730994,1.6837548560871483,0.0,0.30350665054413545
52,112960,4160,1.3762154331242413,0.0,0.4099756690997567,,,
53,115600,4240,1.0652255159053645,0.0,0.42194570135746606,,,
